# time, g
156.04,-0.11636
156.04,-0.083217
156.05,0.092432
156.05,0.20844
156.05,0.13552
156.05,0.055979
156.05,-0.050073
156.05,-0.13293
156.05,-0.11967
156.05,-0.013616
156.05,0.069238
156.05,0.12227
156.05,0.10901
156.05,0.059298
156.05,-0.096466
156.05,-0.10641
156.05,-0.099779
156.05,0.039416
156.05,0.13553
156.05,0.062616
156.05,-0.13623
156.05,-0.16937
156.06,-0.19257
156.06,0.0062779
156.06,0.099074
156.06,0.11565
156.06,0.11565
156.06,0.10902
156.06,0.026166
156.06,0.0062816
156.06,-0.050058
156.06,0.0062827
156.06,0.065938
156.06,0.089137
156.06,0.022855
156.06,-0.026856
156.06,-0.10639
156.06,-0.10308
156.06,0.0062871
156.06,0.056
156.06,0.10571
156.06,0.036116
156.07,0.0062895
156.07,-0.020223
156.07,-0.10639
156.07,-0.12296
156.07,-0.053362
156.07,0.056005
156.07,0.17201
156.07,0.1256
156.07,-0.079873
156.07,-0.086501
156.07,-0.10307
156.07,-0.033473
156.07,0.029496
156.07,-0.050043
156.07,-0.050042
156.07,0.016241
156.07,0.092467
156.07,0.10904
156.07,-0.0036417
156.07,-0.21243
156.08,-0.11301
156.08,-0.023525
156.08,0.18859
156.08,0.27476
156.08,-0.01358
156.08,-0.15277
156.08,-0.1826
156.08,-0.1362
156.08,0.1455
156.08,0.1455
156.08,0.092476
156.08,0.029508
156.08,-0.15608
156.08,-0.093114
156.08,-0.0036318
156.08,0.012939
156.08,0.18528
156.08,-0.023515
156.08,-0.20248
156.08,-0.22568
156.09,-0.17928
156.09,0.10242
156.09,0.24826
156.09,0.21843
156.09,0.16872
156.09,-0.02351
156.09,-0.26876
156.09,-0.35492
156.09,-0.37812
156.09,-0.046706
156.09,0.32449
156.09,0.42722
156.09,0.36094
156.09,0.119
156.09,-0.18258
156.09,-0.18258
156.09,-0.13287
156.09,-0.093099
156.09,0.042781
156.09,0.006326
156.1,0.079238
156.1,0.10907
156.1,-0.016871
156.1,-0.023499
156.1,-0.11961
156.1,-0.086466
156.1,-0.013554
156.1,-0.040067
156.1,0.10244
156.1,0.17868
156.1,0.15216
156.1,0.12896
156.1,-0.10635
156.1,-0.15937
156.1,-0.15274
156.1,0.0063359
156.1,0.072619
156.1,0.17537
156.1,0.032851
156.1,-0.043374
156.11,-0.10303
156.11,-0.14942
156.11,-0.046686
156.11,-0.0069158
156.11,0.056053
156.11,0.062682
156.11,0.10577
156.11,0.092511
156.11,0.029543
156.11,-0.00028378
156.11,-0.10302
156.11,-0.10302
156.11,-0.010224
156.11,0.016289
156.11,0.069316
156.11,-0.00027999
156.11,-0.11296
156.11,-0.049991
156.11,-0.083132
156.11,0.042806
156.12,0.12566
156.12,0.10578
156.12,0.13892
156.12,0.032866
156.12,-0.099699
156.12,-0.18587
156.12,-0.29855
156.12,-0.19912
156.12,0.022927
156.12,0.2251
156.12,0.31789
156.12,0.16213
156.12,-0.053296
156.12,-0.15272
156.12,-0.15935
156.12,-0.040037
156.12,0.022932
156.12,0.06933
156.12,0.11573
156.12,0.11242
156.13,-0.00026464
156.13,-0.11626
156.13,-0.20243
156.13,-0.1958
156.13,-0.016833
156.13,0.085906
156.13,0.16877
156.13,0.13231
156.13,0.0096827
156.13,-0.040029
156.13,-0.15271
156.13,-0.076483
156.13,-0.06654
156.13,0.013
156.13,0.1058
156.13,0.10911
156.13,0.18866
156.13,-0.00025412
156.13,-0.18585
156.13,-0.2455
156.14,-0.2687
